Rank,Nome,Nota
196,Village,7.50
197,Star Wars: Outer Rim,7.73
198,Go,7.64
199,Paleo,7.73
200,Meadow,7.78
301,Nemo's War (Second Edition),7.86
302,Imperial Settlers,7.33
303,Blood on the Clocktower,8.34
304,Fury of Dracula (Third/Fourth Edition),7.44
305,Glass Road,7.45
306,Oath: Chronicles of Empire and Exile,7.83
307,Summoner Wars: Master Set,7.49
308,Imperial 2030,7.66
309,Bitoku,7.88
310,Runewars,7.62
311,Alien Frontiers,7.37
312,Arkham Horror (Third Edition),7.70
313,Century: Spice Road,7.32
314,Return to Dark Tower,8.30
315,Heaven & Ale,7.55
316,Aeon's End: The New Age,8.56
317,The King's Dilemma,7.81
318,Tikal,7.33
319,Bruges,7.43
320,Survive: Escape from Atlantis!,7.32
321,Kemet: Blood and Sand,8.02
322,Exit: The Game – The Abandoned Cabin,7.44
323,Antiquity,7.86
324,Great Western Trail: Argentina,8.52
325,Tiny Epic Galaxies,7.34
326,Love Letter,7.22
327,For Sale,7.25
328,Bunny Kingdom,7.44
329,Lost Cities,7.22
330,Burgle Bros.,7.45
331,Acquire,7.33
332,Dead of Winter: The Long Night,7.54
333,Awkward Guests: The Walton Case,7.60
334,Destinies,7.78
335,Above and Below,7.38
336,Small World,7.22
337,Lords of Hellas,7.70
338,Arboretum,7.31
339,The Great Zimbabwe,7.82
340,Bonfire,7.69
341,Nusfjord,7.65
342,Merchants & Marauders,7.40
343,BattleLore: Second Edition,7.68
344,Tekhenu: Obelisk of the Sun,7.74
345,Dungeon Lords,7.37
346,Bärenpark,7.31
347,Neuroshima Hex! 3.0,7.39
348,Sid Meier's Civilization: The Board Game,7.38
349,Mind MGMT: The Psychic Espionage “Game.”,8.01
350,Mission: Red Planet (Second Edition),7.41
351,The King Is Dead: Second Edition,7.67
352,Long Shot: The Dice Game,7.69
353,Letters from Whitechapel,7.35
354,Chinatown,7.42
355,Dixit,7.21
356,Mysterium,7.23
357,Harry Potter: Hogwarts Battle,7.38
358,Takenoko,7.23
359,Star Wars: Armada,7.83
360,Hannibal: Rome vs. Carthage,7.78
361,Innovation,7.29
362,Agricola: All Creatures Big and Small,7.34
363,Ghost Stories,7.28
364,The Resistance,7.23
365,51st State: Master Set,7.61
366,Gizmos,7.39
367,Altiplano,7.48
368,Imperium: Classics,7.72
369,Ginkgopolis,7.51
370,Skull King,7.50
371,Mage Wars Arena,7.59
372,San Juan,7.23
373,Tiletum,7.98
374,Blood Bowl: Team Manager – The Card Game,7.39
375,Raiders of Scythia,7.79
376,Newton,7.57
377,Furnace,7.43
378,Love Letter,7.52
379,Notre Dame,7.32
380,Carpe Diem,7.52
381,Gùgōng,7.46
382,Abyss,7.33
383,The Pillars of the Earth,7.27
384,At the Gates of Loyang,7.36
385,So Clover!,7.59
386,Twice as Clever!,7.46
387,Flamecraft,7.50
388,Pandemic: Fall of Rome,7.63
