Rank,Nome,Nota
971,Santa Monica,7.21
972,Web of Power,7.30
973,Condottiere,6.88
974,The Castles of Burgundy: The Card Game,6.96
975,Britannia,7.19
976,Concept,6.77
977,Fabled Fruit,6.99
978,Ascension: Storm of Souls,7.28
979,The Grimm Forest,7.09
980,Tiny Epic Dinosaurs,7.34
981,5-Minute Dungeon,6.94
982,Legacy: The Testament of Duke de Crecy,7.14
983,DC Comics Deck-Building Game,7.03
984,Age of Industry,7.35
985,Hawaii,7.11
986,Summoner Wars: Guild Dwarves vs Cave Goblins,7.56
987,Moonrakers,7.78
988,Dorfromantik: The Board Game,7.72
989,Top Ten,7.52
990,Cat Lady,7.04
991,Gold West,7.32
992,Flick 'em Up!,6.87
993,Unsettled,8.07
994,Roll Player Adventures,8.22
995,Mille Fiori,7.44
996,Rivals for Catan,6.96
997,Riverboat,7.43
998,Yedo: Deluxe Master Set,7.97
999,Rajas of the Ganges: The Dice Charmers,7.56
1000,Herbaceous,7.04
1001,Manila,6.99
1002,Caesar!: Seize Rome in 20 Minutes!,7.63
1003,Star Trek: Frontiers,7.84
1004,Antike,7.08
1005,La Città,7.02
1006,The Speicherstadt,7.02
1007,Era: Medieval Age,7.22
1008,War of the Ring: The Card Game,7.86
1009,Discoveries: The Journals of Lewis & Clark,7.03
1010,Wildlands,7.28
1011,"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD",7.62
1012,Imperial Steam,7.83
1013,Sea Salt & Paper,7.37
1014,Ascension: Return of the Fallen,7.28
1015,World's Fair 1893,7.16
1016,History of the World,7.12
1017,Automobiles,7.22
1018,Black Fleet,7.00
1019,Cockroach Poker,6.79
1020,Ticket to Ride: London,7.11
1021,Cottage Garden,6.86
1022,Empires of the Void II,7.48
1023,Irish Gauge,7.25
1024,Winner's Circle,6.99
1025,Star Wars: The Queen's Gambit,7.58
1026,Ecos: First Continent,7.15
1027,Merchants of the Dark Road,7.42
1028,Reavers of Midgard,7.39
1029,Container: 10th Anniversary Jumbo Edition!,7.68
1030,"Hey, That's My Fish!",6.69
1031,Legendary Encounters: A Predator Deck Building Game,7.42
1032,Mr. Jack Pocket,6.85
1033,Archaeology: The New Expedition,7.14
1034,A Study in Emerald,7.21
1035,Majesty: For the Realm,6.94
1036,ICECOOL,6.80
1037,Railroad Revolution,7.34
1038,Fields of Green,7.14
1039,Falling Sky: The Gallic Revolt Against Caesar,7.85
1040,Wiz-War (Eighth Edition),7.05
1041,Little Town,7.20
1042,Startups,7.18
1043,Mint Works,6.93
1044,Codex Naturalis,7.24
1045,The City of Kings,7.54
1046,Dice Town,6.86
1047,Valley of the Kings,7.02
1048,Smash Up: Pretty Pretty Smash Up,7.23
1049,"Warhammer 40,000: Conquest",7.36
1050,Ticket to Ride: New York,6.93
1051,Firenze,7.23
1052,Outfoxed!,7.16
1053,Space Hulk (Fourth Edition),7.94
1054,Paper Tales,7.03
1055,Zombicide Season 3: Rue Morgue,7.52
1056,Polis: Fight for the Hegemony,7.52
1057,Merchant of Venus (Second Edition),7.14
1058,Marvel Dice Masters: Uncanny X-Men,7.16
1059,Islebound,7.17
1060,Explorers of the North Sea,7.30
1061,Spicy,7.17
1062,A Distant Plain,7.84
1063,Nations: The Dice Game,6.94
1064,NMBR 9,6.87
1065,Alma Mater,7.38
1066,Super Fantasy Brawl,7.70
1067,The Lord of the Rings,6.74
1068,CO₂,7.11
1069,The Reckoners,7.69
1070,Fauna,7.04
1071,Linko,6.99
1072,Quarto,6.88
1073,Rallyman: GT,7.22
1074,Via Nebula,7.03
1075,Tales & Games: The Hare & the Tortoise,7.08
1076,Metropolys,7.04
1077,The Big Book of Madness,6.91
1078,Rex: Final Days of an Empire,7.06
1079,Jekyll vs. Hyde,7.29
1080,Ghost Fightin' Treasure Hunters,7.15
1081,Shikoku 1889,7.93
1082,CuBirds,6.93
1083,Two Rooms and a Boom,6.98
1084,Tawantinsuyu: The Inca Empire,7.45
1085,Loony Quest,6.89
1086,Zendo,7.22
1087,Small World of Warcraft,7.35
1088,Smash Up: Monster Smash,7.26
1089,Star Wars: Legion,8.02
1090,When I Dream,6.97
1091,Botanik,7.67
1092,Runebound: Second Edition,6.89
1093,Hardback,7.18
1094,Smash Up,6.71
1095,Dream Home,6.88
1096,Wilderness War,7.71
1097,The Castles of Tuscany,7.25
1098,Terror in Meeple City,6.83
1099,Tide of Iron,7.20
1100,Smart10,7.51
1101,Oriflamme,7.13
1102,Tsuro,6.66
1103,Mr. Jack in New York,7.19
1104,Pictomania (Second Edition),7.59
1105,Beer & Bread,7.52
1106,Men at Work,7.23
1107,Axis & Allies Anniversary Edition,7.43
1108,Vinci,7.07
1109,Quarriors!,6.74
1110,Thunderstone: Dragonspire,7.32
1111,Stronghold,7.14
1112,Set a Watch,7.26
1113,Ambush!,7.51
1114,Netrunner,7.44
1115,Merlin,7.13
1116,Ikusa,7.03
1117,The Prodigals Club,7.30
1118,Mottainai,7.03
1119,Canopy,7.42
1120,Haggis,6.99
1121,Conspiracy: Abyss Universe,7.28
1122,Jump Drive,6.99
1123,China,6.98
1124,Coconuts,7.03
1125,Shadow Hunters,6.82
1126,Batman: Gotham City Chronicles,7.64
1127,Rolling Realms,7.17
1128,Faiyum,7.51
1129,Kingdomino Origins,7.58
1130,Insider,7.05
1131,Eight-Minute Empire: Legends,6.93
1132,Animal Upon Animal,6.79
1133,Automania,7.32
1134,BattleCON: War of Indines,7.66
1135,Battle Cry,7.15
1136,Stella: Dixit Universe,7.31
1137,Diamonds,6.90
1138,Horizons of Spirit Island,8.37
1139,Wendake,7.48
1140,Dead Men Tell No Tales,7.11
1141,Obscurio,7.15
1142,Encore!,6.96
1143,Shadowrun: Crossfire,7.12
1144,Chimera Station,7.24
1145,Domaine,6.99
1146,"Julius Caesar: Caesar, Pompey, and the Roman Civil War",7.79
1147,Expeditions,7.92
1148,Sushi Roll,7.05
1149,Loopin' Louie,6.75
1150,Mysterium Park,7.11
1151,Fallout Shelter: The Board Game,7.25
1152,Quartermaster General,7.31
1153,Legacy of Dragonholt,7.22
1154,Three Kingdoms Redux,7.86
1155,Deep Space D-6,7.18
1156,Yggdrasil,7.03
1157,Andean Abyss,7.61
1158,Honshū,6.92
1159,Cockroach Poker Royal,7.06
1160,Catan Card Game,6.71
1161,On Tour,6.95
1162,Witness,7.25
1163,Unlock!: Escape Adventures – Squeek & Sausage,7.16
1164,Forum Trajanum,7.23
1165,World of Warcraft: Wrath of the Lich King,7.48
1166,Fortune and Glory: The Cliffhanger Game,7.10
1167,Sons of Anarchy: Men of Mayhem,7.26
1168,Battles of Westeros,7.25
1169,Cross Clues,7.27
1170,Horrified: American Monsters,7.56
1171,Risk: Star Wars Edition,7.00
1172,The Game,6.71
1173,1812: The Invasion of Canada,7.34
1174,Power Grid: Factory Manager,6.84
1175,Warhammer Quest,7.49
1176,Fallout,6.93
1177,Vanuatu,7.22
1178,Machi Koro,6.61
1179,Massive Darkness,7.12
1180,For the People,7.78
1181,Primordial Soup,6.93
1182,Stick 'Em,7.05
1183,Whistle Stop,7.08
1184,La Isla,6.87
1185,Circle the Wagons,7.09
1186,Coffee Traders,7.75
1187,Las Vegas Royale,7.45
1188,Legend of the Five Rings: The Card Game,7.36
1189,No Retreat! The Russian Front,7.76
1190,Crisis,7.51
1191,Caylus Magna Carta,6.89
1192,Hansa,6.88
1193,Blueprints,6.80
1194,Flick of Faith,7.37
1195,Plague Inc.: The Board Game,7.38
1196,Witch's Brew,7.01
1197,Claustrophobia 1643,8.02
1198,Watson & Holmes,7.29
1199,Steam Park,6.84
1200,Escape from the Aliens in Outer Space,6.93
1201,Tiny Epic Zombies,6.97
1202,Rise of Augustus,6.73
1203,Exit: The Game – The Sinister Mansion,7.28
1204,Princes of the Renaissance,7.32
1205,Pathfinder Adventure Card Game: Skull & Shackles – Base Set,7.29
1206,Colossal Arena,6.77
1207,Fairy Tale,6.71
1208,Poker,6.72
1209,Claim,6.97
1210,Kraftwagen,7.23
1211,Chronicles of Crime: 1900,8.02
1212,Manoeuvre,7.29
1213,GIPF,7.10
1214,Cleopatra and the Society of Architects,6.80
1215,Vikings Gone Wild,7.13
1216,Spirits of the Wild,7.35
1217,Level 7 [Omega Protocol],7.44
1218,Council of 4,7.15
1219,Dice Throne,7.67
1220,Keep the Heroes Out!,8.02
1221,Here I Stand: 500th Anniversary Edition,8.57
1222,Café,7.31
1223,Fleet,6.85
1224,Ponzi Scheme,7.15
1225,18Chesapeake,7.74
1226,Castle Panic,6.65
1227,Mythos Tales,7.36
1228,Lockup: A Roll Player Tale,7.38
1229,Agra,7.31
1230,Odin's Ravens (Second Edition),7.01
1231,Hamburgum,7.05
1232,Aeon's End: Outcasts,8.57
1233,Dungeon Fighter,6.81
1234,New York 1901,6.80
1235,Genotype: A Mendelian Genetics Game,7.52
1236,Paris,7.27
1237,Blokus Duo,6.82
1238,Atiwa,7.57
1239,Fief: France 1429,7.43
1240,Strasbourg,7.16
1241,A Touch of Evil: The Supernatural Game,6.98
1242,1862: Railway Mania in the Eastern Counties,8.24
1243,Peloponnes,7.10
1244,Thunderbolt Apache Leader,8.02
1245,Medieval Academy,6.94
1246,Folklore: The Affliction,7.71
1247,Maximum Apocalypse,7.53
1248,Duelosaur Island,7.06
1249,Carcassonne: South Seas,7.06
1250,Exit: The Game – The Sunken Treasure,7.06
1251,The Initiative,7.62
1252,Escape Room: The Game,6.94
1253,It's a Wonderful Kingdom,7.34
1254,Hacienda,6.92
1255,Castles of Mad King Ludwig: Collector's Edition,8.40
1256,Werewords Deluxe Edition,7.55
1257,Arkadia,6.91
1258,Pictures,7.21
1259,Santiago de Cuba,6.89
1260,Castell,7.43
1261,Street Masters,8.00
1262,The Golden Ages,7.26
1263,Ninjato,7.16
1264,Copenhagen,6.99
1265,Brew,7.14
1266,Royals,7.17
1267,Betrayal at Baldur's Gate,7.10
1268,Tussie Mussie,6.95
1269,Rattus,6.78
1270,Super-Skill Pinball: 4-Cade,7.14
1271,Thunderbirds,7.55
1272,Agropolis,7.42
1273,Sentient,7.20
1274,Skulls of Sedlec,7.43
1275,BattleTech,7.09
1276,Dead Man's Draw: Captain Carcass,6.85
1277,A Game of Thrones: The Card Game,6.82
1278,Java,7.01
1279,The Fox in the Forest Duet,7.08
1280,Smash Up: It's Your Fault!,7.49
1281,The Magic Labyrinth,6.82
1282,Zombie Teenz Evolution,7.72
1283,Dungeon Twister,6.81
1284,Ultimate Werewolf: Ultimate Edition,6.98
1285,Elfenland,6.68
1286,Maglev Metro,7.28
1287,Mission: Red Planet,6.89
1288,Back to the Future: Back in Time,7.27
1289,Rise of Tribes,7.14
1290,The Werewolves of Miller's Hollow,6.69
1291,Pagan: Fate of Roanoke,8.11
1292,Challengers!,7.15
1293,Ulm,7.02
1294,Dale of Merchants 2,7.30
1295,Carcassonne: Winter Edition,7.49
1296,The Thing: The Boardgame,7.70
1297,Hostage Negotiator,6.81
1298,Viceroy,6.80
1299,Ubongo,6.69
1300,"The Hunters: German U-Boats at War, 1939-43",7.73
1301,Cahoots,7.14
1302,Liberty or Death: The American Insurrection,7.79
1303,Keythedral,7.05
1304,Coloma,7.36
1305,Qwinto,7.00
1306,Ghost Blitz,6.71
1307,Timeline: Inventions,6.69
1308,Sherlock Holmes Consulting Detective: The Baker Street Irregulars,8.33
1309,Medina,7.02
1310,Bad Company,7.36
1311,Hellboy: The Board Game,7.81
1312,Guildhall,6.89
1313,Trains: Rising Sun,7.43
1314,Axis & Allies: Europe 1940,7.57
1315,Merchant of Venus,7.14
1316,Legacy of Yu,8.30
1317,Carnival of Monsters,7.26
1318,Rialto,6.90
1319,Planet Steam,7.11
1320,Evo,6.87
1321,Liberté,7.12
1322,Cartagena,6.68
1323,One Deck Dungeon: Forest of Shadows,7.12
1324,Saboteur,6.55
1325,The Captain Is Dead,7.08
1326,UBOOT: The Board Game,7.62
1327,Evergreen,7.51
1328,TransAmerica,6.68
1329,Sylvion,7.07
1330,Dark Moon,6.99
1331,Stardew Valley: The Board Game,7.37
1332,Fearsome Floors,6.67
1333,Habitats,7.38
1334,SHŌBU,7.53
1335,New Angeles,7.07
1336,Wild Space,7.22
1337,Riftforce,7.34
1338,Rallyman,7.20
1339,Imhotep: The Duel,7.09
1340,Pavlov's House,7.93
1341,Similo,6.82
1342,Catacombs,7.06
1343,Floriferous,7.53
1344,V-Sabotage,7.73
1345,Deep Madness,7.85
1346,Encyclopedia,7.50
1347,Fog of Love,6.71
1348,Hoplomachus: Victorum,8.60
1349,Mariposas,6.84
1350,KeyForge: Age of Ascension,7.24
1351,The Castles of Burgundy: The Dice Game,6.89
1352,Mini Rogue,7.62
1353,Fire & Axe: A Viking Saga,7.00
1354,Gutenberg,7.40
1355,Heroes of Normandie,7.45
1356,Roll Camera!: The Filmmaking Board Game,7.56
1357,Vagrantsong,7.68
1358,Warsaw: City of Ruins,7.32
1359,Lands of Galzyr,8.24
1360,Wings of War: Famous Aces,6.86
1361,Starship Catan,6.84
1362,Unlock!: Mythic Adventures,7.73
1363,Keyper,7.27
1364,Perseverance: Castaway Chronicles – Episodes 1 & 2,7.80
1365,Battle Line: Medieval,7.66
1366,Edge of Darkness,7.51
1367,Star Wars: Unlock!,7.08
1368,Star Trek: Catan,6.99
1369,Eat Poop You Cat,7.47
1370,Yukon Airways,7.35
1371,Museum,7.19
1372,Calimala,7.20
1373,Unearth,6.85
1374,Conflict of Heroes: Storms of Steel! – Kursk 1943,7.69
1375,Kahuna,6.61
1376,Mystery Rummy: Jack the Ripper,6.95
1377,The Starfarers of Catan,6.80
1378,CloudAge,7.27
1379,Titan,6.96
1380,Strike,6.93
1381,The Little Prince: Make Me a Planet,6.90
1382,Walking in Burano,7.12
1383,Fireball Island: The Curse of Vul-Kar,6.78
1384,Exit: The Game – The Forgotten Island,6.92
1385,Porta Nigra,7.18
1386,Mykerinos,6.84
1387,Welcome to the Dungeon,6.55
1388,Spot it!,6.57
1389,Advanced Squad Leader: Starter Kit #2,7.97
1390,Tournay,6.97
1391,Room 25,6.71
1392,Manhattan,6.73
1393,Doom: The Boardgame,6.85
1394,Villages of Valeria,6.99
1395,Beast,7.69
1396,Gloom of Kilforth: A Fantasy Quest Game,7.53
1397,Guillotine,6.54
1398,Kingdom Rush: Rift in Time,7.39
1399,The Staufer Dynasty,7.15
1400,Naga Raja,7.16
1401,Cosmic Encounter,6.92
1402,Undaunted: Stalingrad,8.75
1403,La Cosa Nostra,7.61
1404,XenoShyft: Onslaught,6.91
1405,Say Anything,6.71
1406,Turn the Tide,6.78
1407,Heroes of Terrinoth,7.29
1408,Aftermath,7.59
1409,Exit: The Game – The Mysterious Museum,7.14
1410,Paper Dungeons: A Dungeon Scrawler Game,7.20
1411,Mega Civilization,8.21
1412,Ticket to Ride: Germany,7.60
1413,Murano,7.18
1414,Agricola: Family Edition,7.07
1415,Trails,7.10
1416,Unlock!: Escape Adventures – The Formula,7.00
1417,Asara,7.01
1418,Barony,7.08
1419,Stronghold: 2nd edition,7.46
1420,Merkator,7.03
1421,Tempel des Schreckens,7.17
1422,Food Chain Island,7.26
1423,Timeline: Events,6.77
1424,Trekking the World,7.12
1425,Resist!,7.70
1426,Pickomino,6.58
1427,NEOM,7.29
1428,Chronicles of Avel,7.69
1429,Infinity Gauntlet: A Love Letter Game,7.02
1430,Escape the Dark Castle,7.41
1431,Machina Arcana (Second/Third Edition),8.00
1432,Exit: The Game – The Polar Station,6.87
1433,The Quest for El Dorado: The Golden Temples,7.69
1434,Wyatt Earp,6.84
1435,Medina (Second Edition),7.22
1436,Kitchen Rush (Revised Edition),7.53
1437,Pioneer Days,7.25
1438,Expedition to Newdale,7.42
1439,Solenia,7.05
1440,Lost Cities: The Board Game,6.79
1441,Warrior Knights,6.87
1442,The Artemis Project,7.26
1443,Sherlock Holmes Consulting Detective: Carlton House & Queen's Park,7.84
1444,Ishtar: Gardens of Babylon,7.02
1445,Scarface 1920,8.07
1446,Dice City,6.73
1447,Quoridor,6.66
1448,Escape Tales: The Awakening,7.06
1449,Super Mega Lucky Box,7.18
1450,Gravwell: Escape from the 9th Dimension,6.87
1451,Balloon Cup,6.67
1452,Antike II,7.47
1453,Aton,6.86
1454,Vampire: The Eternal Struggle,7.25
1455,Blue Moon,6.69
1456,Backgammon,6.56
1457,Mascarade,6.58
1458,Ca$h 'n Gun$,6.56
1459,Star Wars: Epic Duels,7.02
1460,Rum & Bones: Second Tide,7.60
1461,Rune Age,6.81
1462,Nanty Narking,7.49
1463,Viral,6.95
1464,Sabika,7.88
1465,Amyitis,6.91
1466,DC Comics Deck-Building Game: Heroes Unite,7.39
1467,Northgard: Uncharted Lands,7.75
1468,Star Wars: Jabba's Palace – A Love Letter Game,7.26
1469,Robo Rally,6.99
1470,Wildcatters,7.60
1471,Axis & Allies: Pacific 1940,7.52
1472,Galaxy Defenders,7.45
1473,Illusion,6.74
1474,The 7th Continent: Classic Edition,7.62
1475,Llamaland,7.34
1476,Sheriff of Nottingham: 2nd Edition,7.33
1477,Tides of Time,6.60
1478,Löwenherz,7.04
1479,Imagine,6.87
1480,Beasty Bar,6.80
1481,TEN,7.10
1482,Le Havre: The Inland Port,6.82
1483,Bausack,6.80
1484,Valley of the Kings: Afterlife,7.24
1485,De Vulgari Eloquentia,7.22
1486,Here to Slay,6.91
1487,Stephenson's Rocket,6.92
1488,Meuterer,6.87
1489,Roma,6.75
1490,Ascending Empires,7.18
1491,The Hunger,7.13
1492,Kremlin,6.97
1493,Scotland Yard,6.51
1494,Azul: Master Chocolatier,7.97
1495,6 nimmt! 25 Jahre,7.38
1496,Blokus 3D,6.78
1497,Onirim,6.64
1498,DOOM: The Board Game,7.42
1499,Kodama: The Tree Spirits,6.69
1500,Haspelknecht: The Story of Early Coal Mining,7.23
1501,Overboss: A Boss Monster Adventure,7.38
1502,Trapwords,6.99
1503,Exit: The Game – The Catacombs of Horror,7.34
1504,Skulk Hollow,7.28
1505,Happy Salmon,6.70
1506,Carolus Magnus,6.83
1507,The Wolves,7.49
1508,Aladdin's Dragons,6.89
1509,Bargain Quest,6.88
1510,Dungeon Degenerates: Hand of Doom,8.14
1511,Renature,7.12
1512,Eight-Minute Empire,6.56
1513,Nothing Personal,7.04
1514,Miyabi,7.47
1515,Timeline: General Interest,6.77
1516,Grove: A 9 card solitaire game,7.79
1517,D-Day Dice,6.82
1518,Fields of Fire,7.86
1519,Wallenstein (Second Edition),7.59
1520,Cosmic Encounter: 42nd Anniversary Edition,8.25
1521,Sun Tzu,7.05
1522,Middle-earth,7.34
1523,Space Crusade,7.04
1524,Factory Fun,6.81
1525,Coup: Rebellion G54,7.00
1526,Tramways,7.40
1527,The Rose King,6.81
1528,Sleuth,6.90
1529,Omen: A Reign of War,7.32
1530,Magic Realm,7.28
1531,Blokus Trigon,6.89
1532,Advanced Squad Leader: Starter Kit #3,8.05
1533,Gingerbread House,6.99
1534,Karak,7.23
1535,My Village,6.93
1536,BANG!,6.49
1537,Path of Light and Shadow,7.43
1538,Tides of Madness,6.76
1539,Traders of Osaka,6.81
1540,Time's Up! Edición Amarilla,7.52
1541,Kashgar: Merchants of the Silk Road,7.08
1542,Disney Villainous: Despicable Plots,7.59
1543,Hit Z Road,6.76
1544,Sniper Elite: The Board Game,7.86
1545,Necromunda,7.30
1546,Indigo,6.85
1547,Dungeons & Dragons: Temple of Elemental Evil Board Game,7.37
1548,Rune Stones,7.29
1549,Piepmatz,7.06
1550,Shogi,7.40
1551,Junta,6.69
1552,Curious Cargo,7.13
1553,Planet,6.68
1554,Aerion,7.33
1555,The Rich and the Good,7.12
1556,Thunder Road: Vendetta,8.11
1557,Dice Miner,7.30
1558,Indian Summer,6.77
1559,Renegade,7.71
1560,Tortuga 1667,6.92
1561,Yomi,6.94
1562,Stroganov,7.29
1563,Pueblo,6.95
1564,I'm the Boss!,6.77
1565,"Sword of Rome: Conquest of Italy, 362-272 BC",7.33
1566,Campy Creatures,7.05
1567,Masmorra: Dungeons of Arcadia,7.04
1568,Neanderthal,7.31
1569,RAF: The Battle of Britain 1940,8.04
1570,Federation,8.10
1571,For Northwood! A Solo Trick-Taking Game,8.08
1572,Marrakech,6.69
1573,Havana,6.85
1574,Railroad Ink Challenge: Shining Yellow Edition,7.59
1575,Empire Builder,6.95
1576,Pixel Tactics,6.85
1577,In the Shadow of the Emperor,6.86
1578,Patchistory,7.08
1579,Kingdoms,6.66
1580,After the Empire,7.51
1581,Aristeia!,8.21
1582,Mü & More,7.15
1583,Marvel: Remix,7.46
1584,Power Grid: The First Sparks,6.77
1585,The Scepter of Zavandor,6.97
1586,Giants,6.96
1587,Warhammer Quest: Blackstone Fortress,7.84
1588,CV,6.59
1589,Chocolate Factory,7.10
1590,Pirate's Cove,6.56
1591,Harry Potter: Hogwarts Battle – Defence Against the Dark Arts,7.17
1592,The Great Dalmuti,6.58
1593,Risk 2210 A.D.,6.68
1594,Doomtown: Reloaded,7.11
1595,Ascension: Immortal Heroes,7.33
1596,The Bottle Imp,6.74
1597,Exit: The Game – The Forbidden Castle,6.81
1598,Paint the Roses,7.28
1599,Dice Settlers,6.91
1600,Century: Golem Edition – An Endless World,7.57
1601,Spyfall 2,6.86
1602,Navajo Wars,7.94
1603,Welcome Back to the Dungeon,6.72
1604,GKR: Heavy Hitters,7.61
1605,Olympos,6.91
1606,Bloodborne: The Card Game,6.88
1607,Tiny Epic Kingdoms,6.56
1608,Revolution!,6.72
1609,Mystery of the Abbey,6.54
1610,Minecraft: Builders & Biomes,6.97
1611,Unlock!: Secret Adventures – The Adventurers of Oz,7.37
1612,Endangered,7.54
1613,The Red Dragon Inn 2,6.92
1614,Oceanos,6.80
1615,1817,8.62
1616,Aquaretto,6.98
1617,1856: Railroading in Upper Canada from 1856,7.50
1618,Codex: Card-Time Strategy – Deluxe Set,8.00
1619,High Frontier,7.36
1620,That Time You Killed Me,7.64
1621,Fireteam Zero,7.50
1622,Android,6.74
1623,Sanctum,7.09
1624,Ingenious: Travel Edition,7.10
1625,Age of Civilization,7.06
1626,Ad Astra,6.86
1627,World of Warcraft: The Boardgame,6.71
1628,After the Virus,7.29
1629,The Ancient World (Second Edition),7.55
1630,The Civil War 1861-1865,7.73
1631,Cryo,7.30
1632,Troyes Dice,7.04
1633,Wars of the Roses: Lancaster vs. York,7.36
1634,Walnut Grove,6.98
1635,Adventure Land,6.90
1636,SET,6.50
1637,1849: The Game of Sicilian Railways,8.15
1638,Land vs Sea,7.17
1639,Bruxelles 1897,7.23
1640,Drop It,6.89
1641,Iwari,7.14
1642,PitchCar Mini,6.97
1643,Fleet: The Dice Game (Second Edition),7.88
1644,Call of Cthulhu: The Card Game,6.89
1645,Century: Golem Edition – Eastern Mountains,7.38
1646,Ogre,6.94
1647,Burgle Bros 2: The Casino Capers,7.39
1648,Bios: Megafauna (Second Edition),7.63
1649,Blood Bowl: Second Season Edition,8.53
1650,Thanos Rising: Avengers Infinity War,7.10
1651,Arctic Scavengers,6.78
1652,Euthia: Torment of Resurrection,8.66
1653,Oregon,6.76
1654,Stationfall,7.79
1655,Ride the Rails,7.19
1656,Age of Renaissance,7.09
1657,Pergamon,6.92
1658,Dice Throne: Season Two – Gunslinger v. Samurai,7.56
1659,Tranquility,7.00
1660,Pendragon: The Fall of Roman Britain,7.92
1661,Ys,6.90
1662,Bios: Origins (Second Edition),7.83
1663,Warfighter: The Tactical Special Forces Card Game,7.70
1664,Adventure Games: The Dungeon,6.96
1665,Glasgow,7.16
1666,Pharaon,7.41
1667,Axis & Allies,6.69
1668,Sobek: 2 Players,7.19
1669,Otys,6.97
1670,Timeline: Discoveries,6.72
1671,The Climbers,6.78
1672,Ave Caesar,6.63
1673,Kamisado,6.94
1674,Power Struggle,6.98
1675,Beyond Balderdash,6.82
1676,Voyages,7.48
1677,Rise of Empires,7.03
1678,Horseless Carriage,7.97
1679,On the Underground,6.90
1680,Himalaya,6.99
1681,Sorcerer City,7.42
1682,A Study in Emerald (Second Edition),6.89
1683,The Lord of the Ice Garden,7.63
1684,Uprising: Curse of the Last Emperor,8.43
1685,Masters of Renaissance: Lorenzo il Magnifico – The Card Game,7.19
1686,Imaginarium,7.15
1687,Oltréé,7.53
1688,Dungeon Mayhem,6.93
1689,Unconditional Surrender! World War 2 in Europe,8.11
1690,Virus!,6.73
1691,"Artifacts, Inc.",6.75
1692,Puzzle Strike: Third Edition,7.18
1693,World in Flames,7.63
1694,Axis & Allies,6.57
1695,Key Flow,7.35
1696,Unlock!: Mystery Adventures – The House on the Hill,6.99
1697,Abandon All Artichokes,6.64
1698,Tabannusi: Builders of Ur,7.40
1699,Mangrovia,7.17
1700,Starship Captains,7.24
1701,Dale of Merchants Collection,7.84
1702,Anomia,6.69
1703,ICECOOL2,7.18
1704,51st State,6.81
1705,Jungle Speed,6.48
1706,Successors (Third Edition),7.54
1707,Dragonfire,7.11
1708,New York Slice,6.71
1709,Capital Lux,7.01
1710,"Air, Land, and Sea: Critters at War",7.54
1711,Normandy '44,7.90
1712,Carcassonne: Amazonas,7.05
1713,Juicy Fruits,7.08
1714,The Ancient World,6.99
1715,Rummikub,6.45
1716,Love Letter: Adventure Time,7.25
1717,Legendary Encounters: A Firefly Deck Building Game,7.10
1718,Sluff Off!,6.88
1719,Flip Ships,7.01
1720,Cantaloop: Book 1 – Breaking into Prison,7.51
1721,Metro X,7.14
1722,Paranormal Detectives,7.02
1723,A House Divided: War Between the States 1861-65,7.08
1724,Mordheim: City of the Damned,7.33
1725,Battle Cry: 150th Civil War Anniversary Edition,7.64
1726,Gulo Gulo,6.83
1727,The New Era,7.49
1728,Samurai Spirit,6.61
1729,Dog Park,7.21
1730,Get on Board: New York & London,7.00
1731,Hare & Tortoise,6.63
1732,The Adventurers: The Temple of Chac,6.61
1733,Guards of Atlantis II,8.54
1734,Wits & Wagers Party,6.91
1735,Favor of the Pharaoh,6.79
1736,Ascension: Rise of Vigil,7.17
1737,Battle Sheep,6.61
1738,Noctiluca,7.12
1739,Sagani,7.14
1740,Egizia: Shifting Sands,7.52
1741,Treasure Hunter,6.76
1742,1860: Railways on the Isle of Wight,7.90
1743,Leonardo da Vinci,6.73
1744,Sentinels of the Multiverse: Definitive Edition,8.40
1745,The Isle of Cats: Explore & Draw,7.50
1746,City of Iron,7.17
1747,Catan: Starfarers,7.60
1748,Ubongo 3D,7.08
1749,The Bridges of Shangri-La,6.85
1750,The Red Dragon Inn,6.56
1751,Wooden Ships & Iron Men,7.07
1752,Cóatl,6.97
1753,Monumental,7.58
1754,"Colonial Twilight: The French-Algerian War, 1954-62",7.71
1755,The Great Heartland Hauling Co.,6.85
1756,The Expanse Board Game,7.18
1757,New Bedford,7.06
1758,Helvetia,6.98
1759,Clans,6.57
1760,Salem 1692,7.09
1761,Glow,7.03
1762,Sanssouci,7.13
1763,Empires in Arms,7.61
1764,The King Is Dead,7.12
1765,Babel,6.65
1766,Exit: The Game – The Haunted Roller Coaster,7.17
1767,König von Siam,6.90
1768,Trambahn,6.95
1769,Factory Funner,7.20
1770,Transatlantic,7.04
1771,Niagara,6.46
1772,Space Cadets: Dice Duel,6.75
1773,Smash Up: The Obligatory Cthulhu Set,6.73
1774,Strat-O-Matic Baseball,7.82
1775,Evo (Second Edition),6.93
1776,Petrichor,6.93
1777,La Boca,6.97
1778,Fjords,6.75
1779,Carrom,7.08
1780,Felicity: The Cat in the Sack,6.57
1781,Reykholt,6.71
1782,The Russian Campaign,7.34
1783,Duplik,6.97
1784,L.L.A.M.A.,6.48
1785,Timeline: Music & Cinema,6.72
1786,Altar Quest,7.71
1787,burncycle,8.02
1788,Star Trek: Attack Wing,7.50
1789,Love Letter: The Hobbit – The Battle of the Five Armies,7.12
1790,Machi Koro Legacy,6.92
1791,Nautilion,7.22
